Geography,Question Code,Question Text,Response Category,Response Variable,Gender,Value
Mexico,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,8.27
Mexico,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,7.39
Mexico,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,7.81
Argentina,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,8.68
Argentina,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,7.51
Argentina,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,8.02
Bolivia,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,7.65
Bolivia,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,6.74
Bolivia,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,7.18
Brazil,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,8.33
Brazil,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,7.47
Brazil,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,7.85
Chile,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,8.87
Chile,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,7.60
Chile,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,8.17
Colombia,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,7.63
Colombia,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,6.93
Colombia,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,7.24
Costa Rica,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,8.35
Costa Rica,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,7.25
Costa Rica,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,7.77
Ecuador,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,7.92
Ecuador,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,6.60
Ecuador,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,7.28
El Salvador,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,8.01
El Salvador,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,6.92
El Salvador,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,7.49
Guatemala,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,8.25
Guatemala,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,7.08
Guatemala,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,7.72
Haiti,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,7.38
Haiti,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,7.35
Haiti,B.1,Number of hours spent per day at work last week,,b1_hours_work,combined,7.31
Honduras,B.1,Number of hours spent per day at work last week,,b1_hours_work,male,7.83
Honduras,B.1,Number of hours spent per day at work last week,,b1_hours_work,female,7.45
